statement_number,shipment_date,pro_number,reference,bol,shipper_name,shipper_city,shipper_state,shipper_zip_code,consignee_name,consignee_city,consignee_state,consignee_zip_code,pallets,class,weight,purchase_order,gross_amount,fuel_surcharge,discount_amount,net_amount,paid_to_date,store_number
8124961,21315,27072568,N                   ,903377712,CUMMINS FILTRATION FLEETGUARD ,WALTON              ,KY,41094,INTERNATIONAL TRUCK           ,SPRINGFIELD         ,MO,65802,1,70,648,NS                  ,171.46,0,0,0,0,     
0,0,0,                    ,                    ,                              ,                    ,  ,      ,                              ,                    ,  ,      ,0,70,25,                    ,6.62,9.11,117.33,69.86,0,     
8124961,21215,207019367,NS                  ,233854,SUPPLY CHAIN SERVICES         ,LAFAYETTE           ,IN,47905,NEWSTREAM ENTERPRISES         ,SPRINGFIELD         ,MO,65802,3,85,3250,NS                  ,615.88,31.41,406.48,240.81,0,     
8124961,21015,279009669,10267,50722,CONCENTRIC ROCKFORD INC       ,ROCKFORD            ,IL,61109,NEWSTREAM ENTERPRISES         ,SPRINGFIELD         ,MO,65802,5,77.5,2425,265484,497.13,25.35,328.11,194.37,0,     
8124961,21315,306589807,NS                  ,B000018125          ,MEDALSIT LASERFAB             ,OSHKOSH             ,WI,54902,NEWSTREAM ENTERPRISES         ,SPRINGFIELD         ,MO,65802,2,85,1378,NS                  ,367.37,18.74,242.46,143.65,0,     
8124961,21215,306603053,939505,NS                  ,FEDERAL MOGUL  856            ,MANITOWOC           ,WI,54220,NEWSTREAM ENTERPRISES         ,SPRINGFIELD         ,MO,65802,2,85,584,NS                  ,189.45,0,0,0,0,     
0,0,0,                    ,                    ,                              ,                    ,  ,      ,                              ,                    ,  ,      ,0,85,71,                    ,23.03,10.84,140.24,83.08,0,     
8124961,21215,308636086,1.00E+11,1120875,ALLISON TRANSMISSION          ,INDIANAPOLIS        ,IN,46241,NEWSTREAM ENTERPRISES         ,SPRINGFIELD         ,MO,65802,2,85,803,41400-0000038428    ,194.25,9.91,128.21,75.95,0,     
8124961,21015,313958566,C20143599           ,SW00000000          ,TRAD NORTH AMERICA INC        ,HOPKINSVILLE        ,KY,42240,NEWSTREAM ENTERPRISES         ,SPRINGFIELD         ,MO,65802,5,125,1725,18852,576.67,0,0,0,0,     
0,0,0,                    ,                    ,                              ,                    ,  ,      ,                              ,                    ,  ,      ,0,125,207,                    ,69.2,0,0,0,0,     
0,0,0,                    ,                    ,                              ,                    ,  ,      ,                              ,                    ,  ,      ,0,DEF   ,68,                    ,22.73,34.1,441.28,261.42,0,     
